n,mde_p0.5_pts,mde_p0.7_pts,mde_p0.9_pts
20,31.323,28.708,18.794
22,29.865,27.372,17.919
24,28.594,26.206,17.156
26,27.472,25.178,16.483
29,26.012,23.84,15.607
32,24.763,22.695,14.858
35,23.678,21.701,14.207
39,22.431,20.558,13.458
42,21.615,19.81,12.969
46,20.654,18.929,12.392
51,19.615,17.977,11.769
56,18.719,17.156,11.231
61,17.935,16.438,10.761
68,16.987,15.569,10.192
74,16.284,14.924,9.77
81,15.564,14.265,9.339
89,14.848,13.609,8.909
98,14.15,12.969,8.49
108,13.479,12.354,8.087
118,12.895,11.819,7.737
130,12.286,11.26,7.371
143,11.714,10.736,7.028
157,11.18,10.246,6.708
172,10.681,9.789,6.409
189,10.189,9.339,6.114
208,9.713,8.902,5.828
228,9.277,8.502,5.566
250,8.859,8.12,5.316
275,8.447,7.742,5.068
302,8.061,7.388,4.836
331,7.699,7.057,4.62
364,7.342,6.729,4.405
400,7.004,6.419,4.202
439,6.686,6.127,4.011
482,6.38,5.848,3.828
529,6.09,5.582,3.654
581,5.811,5.326,3.487
638,5.546,5.083,3.327
701,5.291,4.849,3.174
769,5.051,4.63,3.031
845,4.819,4.417,2.891
928,4.598,4.214,2.759
1019,4.388,4.022,2.633
1119,4.188,3.838,2.513
1228,3.997,3.664,2.398
1349,3.814,3.495,2.288
1481,3.64,3.336,2.184
1626,3.474,3.184,2.084
1786,3.315,3.038,1.989
1961,3.163,2.899,1.898
2154,3.018,2.766,1.811
2365,2.88,2.64,1.728
2597,2.749,2.519,1.649
2852,2.623,2.404,1.574
3132,2.503,2.294,1.502
3439,2.389,2.189,1.433
3776,2.28,2.089,1.368
4147,2.175,1.994,1.305
4553,2.076,1.903,1.246
5000,1.981,1.816,1.189
